days,hours,temp,hum
1,8,20,78
1,9,24,70
1,10,20,78
1,11,28,79
1,12,20,72
1,13,20,78
1,14,24,79
1,15,24,71
1,16,25,74
1,17,24,73
2,8,22,72
2,9,21,78
2,10,26,76
2,11,22,84
2,12,23,77
2,13,23,77
2,14,23,79
2,15,27,82
2,16,27,82
2,17,22,73
3,8,24,77
3,9,26,81
3,10,22,70
3,11,25,77
3,12,26,74
3,13,26,80
3,14,26,79
3,15,26,80
3,16,26,72
3,17,28,73
4,8,20,84
4,9,25,76
4,10,22,82
4,11,24,70
4,12,21,83
4,13,23,75
4,14,20,81
4,15,25,84
4,16,23,81
4,17,20,83
5,8,25,78
5,9,20,79
5,10,21,85
5,11,22,78
5,12,23,79
5,13,27,70
5,14,28,83
5,15,22,77
5,16,27,83
5,17,21,74
6,8,26,80
6,9,20,85
6,10,27,74
6,11,21,85
6,12,27,74
6,13,26,82
6,14,25,81
6,15,28,72
6,16,20,81
6,17,22,83
7,8,21,71
7,9,28,77
7,10,24,75
7,11,20,83
7,12,21,77
7,13,26,71
7,14,22,76
7,15,24,77
7,16,21,75
7,17,27,85
